,set_size,trial_num,method_num,space
389,100.0,64.0,5.0,2556.46875
390,100,65,0,3200
391,100,65,1,2800
392,100,65,2,1800
393,100.0,65.0,3.0,1655.625
394,100.0,65.0,4.0,2571.25
395,100.0,65.0,5.0,2546.8359375
396,100,66,0,3200
397,100,66,1,2800
398,100,66,2,1800
399,100.0,66.0,3.0,1661.625
400,100.0,66.0,4.0,2577.25
401,100.0,66.0,5.0,2552.8359375
402,100,67,0,3200
403,100,67,1,2800
404,100,67,2,1700
405,100.0,67.0,3.0,1646.625
406,100.0,67.0,4.0,2562.25
407,100.0,67.0,5.0,2537.8359375
408,100,68,0,3200
409,100,68,1,2800
410,100,68,2,2000
411,100.0,68.0,3.0,1702.75
412,100.0,68.0,4.0,2621.5
413,100.0,68.0,5.0,2592.203125
414,100,69,0,3200
415,100,69,1,2800
416,100,69,2,1800
417,100.0,69.0,3.0,1655.5
418,100.0,69.0,4.0,2568.0
419,100.0,69.0,5.0,2548.46875
420,100,70,0,3200
421,100,70,1,2800
422,100,70,2,1700
423,100.0,70.0,3.0,1679.625
424,100.0,70.0,4.0,2595.25
425,100.0,70.0,5.0,2570.8359375
426,100,71,0,3200
427,100,71,1,2800
428,100,71,2,1800
429,100.0,71.0,3.0,1646.625
430,100.0,71.0,4.0,2562.25
431,100.0,71.0,5.0,2537.8359375
432,100,72,0,3200
433,100,72,1,2800
434,100,72,2,1700
435,100.0,72.0,3.0,1670.625
436,100.0,72.0,4.0,2586.25
437,100.0,72.0,5.0,2561.8359375
438,100,73,0,3200
439,100,73,1,2800
440,100,73,2,1700
441,100.0,73.0,3.0,1663.625
442,100.0,73.0,4.0,2579.25
443,100.0,73.0,5.0,2554.8359375
444,100,74,0,3200
445,100,74,1,2800
446,100,74,2,1600
447,100.0,74.0,3.0,1602.375
448,100.0,74.0,4.0,2511.75
449,100.0,74.0,5.0,2497.1015625
450,100,75,0,3200
451,100,75,1,2800
452,100,75,2,1700
453,100.0,75.0,3.0,1664.625
454,100.0,75.0,4.0,2580.25
455,100.0,75.0,5.0,2555.8359375
456,100,76,0,3200
457,100,76,1,2800
458,100,76,2,1700
459,100.0,76.0,3.0,1707.625
460,100.0,76.0,4.0,2623.25
461,100.0,76.0,5.0,2598.8359375
462,100,77,0,3200
463,100,77,1,2800
464,100,77,2,1500
465,100.0,77.0,3.0,1605.375
466,100.0,77.0,4.0,2514.75
467,100.0,77.0,5.0,2500.1015625
468,100,78,0,3200
469,100,78,1,2800
470,100,78,2,1500
471,100.0,78.0,3.0,1668.5
472,100.0,78.0,4.0,2581.0
473,100.0,78.0,5.0,2561.46875
474,100,79,0,3200
475,100,79,1,2800
476,100,79,2,1600
477,100.0,79.0,3.0,1683.5
478,100.0,79.0,4.0,2596.0
479,100.0,79.0,5.0,2576.46875
480,100,80,0,3200
481,100,80,1,2800
482,100,80,2,1500
483,100.0,80.0,3.0,1661.375
484,100.0,80.0,4.0,2570.75
485,100.0,80.0,5.0,2556.1015625
486,100,81,0,3200
487,100,81,1,2800
488,100,81,2,1800
489,100.0,81.0,3.0,1706.75
490,100.0,81.0,4.0,2625.5
491,100.0,81.0,5.0,2596.203125
492,100,82,0,3200
493,100,82,1,2800
494,100,82,2,1800
495,100.0,82.0,3.0,1695.75
496,100.0,82.0,4.0,2614.5
497,100.0,82.0,5.0,2585.203125
498,100,83,0,3200
499,100,83,1,2800
500,100,83,2,1600
501,100.0,83.0,3.0,1642.5
502,100.0,83.0,4.0,2546.0
503,100.0,83.0,5.0,2526.46875
504,100,84,0,3200
505,100,84,1,2800
506,100,84,2,1700
507,100.0,84.0,3.0,1699.625
508,100.0,84.0,4.0,2615.25
509,100.0,84.0,5.0,2590.8359375
510,100,85,0,3200
511,100,85,1,2800
512,100,85,2,1800
513,100.0,85.0,3.0,1661.625
514,100.0,85.0,4.0,2577.25
515,100.0,85.0,5.0,2552.8359375
516,100,86,0,3200
517,100,86,1,2800
518,100,86,2,1800
519,100.0,86.0,3.0,1683.625
520,100.0,86.0,4.0,2590.25
521,100.0,86.0,5.0,2565.8359375
522,100,87,0,3200
523,100,87,1,2800
524,100,87,2,1600
525,100.0,87.0,3.0,1641.5
526,100.0,87.0,4.0,2554.0
527,100.0,87.0,5.0,2534.46875
528,100,88,0,3200
529,100,88,1,2800
530,100,88,2,1800
531,100.0,88.0,3.0,1606.625
532,100.0,88.0,4.0,2522.25
533,100.0,88.0,5.0,2497.8359375
534,100,89,0,3200
535,100,89,1,2800
536,100,89,2,1800
537,100.0,89.0,3.0,1691.75
538,100.0,89.0,4.0,2610.5
539,100.0,89.0,5.0,2581.203125
540,100,90,0,3200
541,100,90,1,2800
542,100,90,2,1800
543,100.0,90.0,3.0,1638.625
544,100.0,90.0,4.0,2554.25
545,100.0,90.0,5.0,2529.8359375
546,100,91,0,3200
547,100,91,1,2800
548,100,91,2,1900
549,100.0,91.0,3.0,1637.625
550,100.0,91.0,4.0,2544.25
551,100.0,91.0,5.0,2519.8359375
