,trial_num,method_num,delim_size,space
186,62.0,0.0,0.0,19748.0
187,62.0,1.0,0.0,35748.0
188,62.0,2.0,0.0,12748.0
189,63.0,0.0,0.0,19760.0
190,63.0,1.0,0.0,35760.0
191,63.0,2.0,0.0,12760.0
192,64.0,0.0,0.0,19773.0
193,64.0,1.0,0.0,35773.0
194,64.0,2.0,0.0,12773.0
195,65.0,0.0,0.0,19664.0
196,65.0,1.0,0.0,35664.0
197,65.0,2.0,0.0,12664.0
198,66.0,0.0,0.0,19833.0
199,66.0,1.0,0.0,35833.0
200,66.0,2.0,0.0,12833.0
201,67.0,0.0,0.0,19794.0
202,67.0,1.0,0.0,35794.0
203,67.0,2.0,0.0,12794.0
204,68.0,0.0,0.0,19737.0
205,68.0,1.0,0.0,35737.0
206,68.0,2.0,0.0,12737.0
207,69.0,0.0,0.0,19665.0
208,69.0,1.0,0.0,35665.0
209,69.0,2.0,0.0,12665.0
210,70.0,0.0,0.0,19702.0
211,70.0,1.0,0.0,35702.0
212,70.0,2.0,0.0,12702.0
213,71.0,0.0,0.0,19697.0
214,71.0,1.0,0.0,35697.0
215,71.0,2.0,0.0,12697.0
216,72.0,0.0,0.0,19725.0
217,72.0,1.0,0.0,35725.0
218,72.0,2.0,0.0,12725.0
219,73.0,0.0,0.0,19764.0
220,73.0,1.0,0.0,35764.0
221,73.0,2.0,0.0,12764.0
222,74.0,0.0,0.0,19780.0
223,74.0,1.0,0.0,35780.0
224,74.0,2.0,0.0,12780.0
225,75.0,0.0,0.0,19695.0
226,75.0,1.0,0.0,35695.0
227,75.0,2.0,0.0,12695.0
228,76.0,0.0,0.0,19789.0
229,76.0,1.0,0.0,35789.0
230,76.0,2.0,0.0,12789.0
231,77.0,0.0,0.0,19743.0
232,77.0,1.0,0.0,35743.0
233,77.0,2.0,0.0,12743.0
234,78.0,0.0,0.0,19735.0
235,78.0,1.0,0.0,35735.0
236,78.0,2.0,0.0,12735.0
237,79.0,0.0,0.0,19760.0
238,79.0,1.0,0.0,35760.0
239,79.0,2.0,0.0,12760.0
240,80.0,0.0,0.0,19732.0
241,80.0,1.0,0.0,35732.0
242,80.0,2.0,0.0,12732.0
243,81.0,0.0,0.0,19773.0
244,81.0,1.0,0.0,35773.0
245,81.0,2.0,0.0,12773.0
246,82.0,0.0,0.0,19808.0
247,82.0,1.0,0.0,35808.0
248,82.0,2.0,0.0,12808.0
249,83.0,0.0,0.0,19715.0
250,83.0,1.0,0.0,35715.0
251,83.0,2.0,0.0,12715.0
252,84.0,0.0,0.0,19829.0
253,84.0,1.0,0.0,35829.0
254,84.0,2.0,0.0,12829.0
255,85.0,0.0,0.0,19898.0
